day,buzz,positive_buzz,negative_buzz,quality,postive_quality,negative_quality,impression,positive_impression,negative_impression,value,positive_value,negative_value,reputation,positive_reputation,negative_reputation,satisfaction,positive_satisfaction,negative_satisfaction,recommend,positive_recommend,negative_recommend,awareness,attention,ad_awareness,wom_exposure,consideration,purchase_intent
2015-01-01,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589,785.458589
2015-01-02,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071,784.734071
2015-01-03,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688,777.957688
2015-01-04,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811,781.948811
2015-01-05,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062,784.96062
2015-01-06,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281,787.840281
2015-01-07,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912,813.147912
2015-01-08,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044,799.782044
2015-01-09,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634,799.061634
2015-01-10,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939,815.528939
