Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Tracked Revenue,Spend
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-01-02,4061.99,304.65
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-01-09,2082.0,168.875
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-01-16,2240.97,168.07500000000002
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-01-23,1880.0,141.0
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-01-30,1746.98,127.775
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-02-06,577.0,43.275
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-02-13,2627.0,197.025
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-02-20,4921.0,369.075
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-02-27,3950.0,296.25
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-03-05,7019.97,581.9625
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-03-12,10353.94,818.0875000000001
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-03-19,9636.97,780.75
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-03-26,7046.0,588.825
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-04-02,12327.97,1016.3125
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-04-09,14887.99,1285.275
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-04-16,10685.96,894.5749999999999
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-04-23,6229.0,540.3125
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-04-30,8334.0,686.5125
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-05-07,8192.97,627.1374999999999
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-05-14,27226.97,8675.5
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-05-21,7004.85,543.6625
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-05-28,8705.0,714.0375
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-06-04,18107.99,1362.6125
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-06-11,15246.0,1174.2625
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-06-18,16899.96,1333.5124999999998
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-06-25,18302.0,1445.1125
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-07-02,17591.84,1400.825
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-07-09,23669.93,1815.125
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-07-16,24978.97,1947.7250000000001
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-07-23,29078.98,2291.2625
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-07-30,17708.95,1352.9499999999998
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-08-06,25907.94,2019.8374999999999
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-08-13,20369.0,1564.075
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2012-08-20,28520.0,2234.0
