Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Spend,Comment
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2015-08-10,9599.9,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2015-08-24,10700.0,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2015-12-14,43564.15,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2016-03-21,14310.051285714278,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2016-03-28,19729.948714285707,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2016-05-23,6127.2,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2016-05-30,4084.7999999999997,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2016-12-19,15099.171428571417,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2016-12-26,42343.32857142856,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-04-03,7990.231549368744,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-04-10,8323.905044656236,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-04-17,4901.578934730962,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-04-24,8194.844471244058,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-08-21,6382.5,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-08-28,2127.5,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-12-11,7802.281334217858,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-12-18,52531.93541292775,
ClientBrand,Cinema,,Unclassified,EXCLUDING,CTC,2017-12-25,67315.7832528544,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-02-20,2720.2125,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-02-27,2720.2125,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-03-05,26403.5792,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-03-12,38525.32253333333,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-03-19,28807.261683333334,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-03-26,35875.10501666667,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-04-02,5120.160833333333,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-04-09,19507.069833333335,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-04-16,7401.205,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-04-23,5974.424999999999,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-05-07,7129.57,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-05-14,675.0,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-05-21,9938.0,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-05-28,1046.52,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-06-04,5688.0,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-06-11,814.73,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-06-18,6752.47,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-07-02,8593.316,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-07-09,3359.075,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-07-16,8542.399999999998,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-07-23,374.075,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-07-30,6150.366,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-08-20,9105.0,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-08-27,6817.725,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-09-17,3698.86,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-09-24,5346.24,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-10-15,7604.766,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-10-29,2908.206,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-11-05,2819.3735,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-11-12,19179.2385,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-11-19,19519.179,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-11-26,14395.4895,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2012-12-31,4928.166,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-01-14,6178.266,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-01-28,5968.0,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-02-11,6524.766,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-02-18,244.8,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-02-25,6315.066,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-03-25,2678.93,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-04-01,1832.7060000000001,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-04-15,2580.777,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-04-22,2282.71,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-04-29,2282.71,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-05-06,2287.377,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-05-13,1869.55,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-05-20,2820.44,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-05-27,5887.66,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-06-03,2820.44,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-06-10,4067.1,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-06-17,9005.49,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-06-24,3534.81,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-07-01,4808.02,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-07-08,1994.85,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-07-15,3861.43,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-08-05,4358.02,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-08-12,351.85,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-08-19,3479.85,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-09-02,4358.02,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-09-16,3578.0,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-09-30,2224.68,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-10-14,3479.85,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-10-28,4808.02,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-11-11,3334.71,
ClientBrand,Clearance,,Unclassified,EXCLUDING,CTC,2013-11-25,4953.16,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-03-05,14221.02,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-03-12,8163.283500000005,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-04-02,7509.517000000001,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-04-09,4589.622,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-04-16,8459.757000000001,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-04-23,6865.398000000001,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-05-14,3857.75,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-05-28,3824.65,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-06-18,1854.9450000000002,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-06-25,11803.85,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-07-02,1291.77,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-07-09,1648.66,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-07-16,3857.75,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-07-30,3206.58,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-08-06,3894.04,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-08-27,26097.46,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-09-10,8350.1,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-09-24,13790.84,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-10-15,13471.740000000002,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-10-22,2520.3959999999997,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-11-12,15211.476,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-11-19,4215.555,
ClientBrand,Customer First,,Unclassified,EXCLUDING,CTC,2012-11-26,12851.712,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-01-10,69960.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-01-17,17854.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-01-24,14723.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-02-07,15729.979000000001,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-02-14,85043.89,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-02-21,16739.23,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-02-28,15695.419000000002,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-04-04,6334.43,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-04-11,2320.4,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-04-18,1233.39,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-04-25,1233.39,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-05-02,319.69,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-05-09,3470.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-05-16,16047.080880000001,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-05-23,3181.446,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-05-30,10018.78,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-06-06,1535.526,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-06-13,5658.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-06-20,3962.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-06-27,2223.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-07-04,2772.3720000000003,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-07-11,1593.181,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-07-18,9893.7505,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-07-25,8678.783500000001,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-08-01,5321.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-08-08,10066.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-08-15,8053.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-08-22,10409.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-08-29,3968.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-09-05,12120.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-09-12,4308.0,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-10-17,7075.984,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-10-24,1519.588125,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-10-31,30312.653375,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-11-07,18908.155375000002,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-11-14,25064.029125,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2011-11-21,12947.801,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-01-09,35681.544,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-01-16,4805.622,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-01-23,10921.858,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-01-30,15426.511000000002,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-02-06,20222.215,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-02-13,25292.906251636563,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-02-20,695.511,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-02-27,695.511,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-05-14,471.276,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-05-21,1032.678,
ClientBrand,Grand Openings,,Unclassified,EXCLUDING,CTC,2012-05-28,3150.0,
