Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Volume,Spend
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2011-10-17,Missing Data,425000.0
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2011-10-24,Missing Data,425000.0
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2011-11-28,Missing Data,245000.0
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2011-12-05,Missing Data,245000.0
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2012-03-12,Missing Data,182283.0
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2012-03-19,Missing Data,47214.0
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2012-05-14,Missing Data,140592.62
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2012-05-21,Missing Data,63164.8
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2012-10-15,Missing Data,228023.86892
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2012-10-22,Missing Data,141753.61862
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2012-11-26,Missing Data,339860.51
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2013-05-13,Missing Data,153846.0
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2013-08-05,Missing Data,696.0
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-03-02,Missing Data,11220.622
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-03-09,Missing Data,11220.622
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-03-16,Missing Data,11220.622
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-03-23,Missing Data,11220.622
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-03-30,Missing Data,11220.622
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-04-06,Missing Data,17182.9925
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-04-13,Missing Data,17182.9925
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-04-20,Missing Data,17182.9925
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-04-27,Missing Data,17182.9925
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-05-04,Missing Data,7701.7
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-05-11,Missing Data,7701.7
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-05-18,Missing Data,7701.7
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-05-25,Missing Data,7701.7
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-06-01,Missing Data,3248.13
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-06-08,Missing Data,3248.13
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-06-15,Missing Data,3248.13
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-06-22,Missing Data,3248.13
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-06-29,Missing Data,3248.13
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-09-07,Missing Data,17555.7475
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-09-14,Missing Data,17555.7475
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-09-21,Missing Data,17555.7475
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-09-28,Missing Data,17555.7475
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-10-05,Missing Data,17555.7475
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-10-12,Missing Data,17555.7475
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-10-19,Missing Data,17555.7475
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-10-26,Missing Data,17555.7475
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-11-02,Missing Data,14042.8
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-11-09,Missing Data,14042.8
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-11-16,Missing Data,14042.8
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-11-23,Missing Data,14042.8
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-11-30,Missing Data,14042.8
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-12-07,Missing Data,10077.5
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-12-14,Missing Data,10077.5
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-12-21,Missing Data,10077.5
ClientBrand,Direct Mail,,Unclassified,EXCLUDING,CTC,2015-12-28,Missing Data,10077.5
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-01-25,34215,10264.5
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-01-25,Not Applicable,3350.3360000000002
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-01-25,Not Applicable,6329.775
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-01-25,Not Applicable,4790.1
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-02-01,34215,10264.5
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-02-01,Not Applicable,1787.92
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-02-01,Not Applicable,6329.775
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-02-01,Not Applicable,4790.1
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-02-15,34215,10264.5
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-02-15,Not Applicable,1787.92
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-02-15,Not Applicable,6329.775
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-02-15,Not Applicable,4790.1
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-03-07,34215,10264.5
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-03-07,Not Applicable,1166.890666666667
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-03-07,Not Applicable,6329.775
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-03-07,Not Applicable,4790.1
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-03-14,34215,10264.5
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-03-14,Not Applicable,1166.890666666667
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-03-14,Not Applicable,6329.775
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-03-14,Not Applicable,4790.1
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-03-28,34215,10264.5
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-03-28,Not Applicable,1166.890666666667
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-03-28,Not Applicable,6329.775
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-03-28,Not Applicable,4790.1
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-04-11,34215,10264.5
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-04-11,Not Applicable,1750.336
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-04-11,Not Applicable,6329.775
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-04-11,Not Applicable,4790.1
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-04-25,34215,10264.5
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-04-25,Not Applicable,1750.336
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-04-25,Not Applicable,6329.775
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-04-25,Not Applicable,4790.1
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-05-02,21622,6486.599999999999
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-05-02,Not Applicable,1198.225549762316
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-05-02,Not Applicable,4000.07
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-05-02,Not Applicable,3027.0800000000004
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-05-16,21622,6486.599999999999
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-05-16,Not Applicable,1198.225549762316
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-05-16,Not Applicable,4000.07
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-05-16,Not Applicable,3027.0800000000004
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-05-30,22810,6843.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-05-30,Not Applicable,1264.060900475369
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-05-30,Not Applicable,4219.85
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-05-30,Not Applicable,3193.4
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-06-13,22810,6843.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-06-13,Not Applicable,3132.859711236661
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-06-13,Not Applicable,4219.85
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-06-13,Not Applicable,3193.4
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-06-27,2678,803.4
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-06-27,Not Applicable,367.81228876333967
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-06-27,Not Applicable,495.43
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-06-27,Not Applicable,374.92
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-07-11,2678,803.4
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-07-11,Not Applicable,1750.3360000000002
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-07-11,Not Applicable,495.43
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-07-11,Not Applicable,374.92
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-07-25,2678,803.4
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-07-25,Not Applicable,1750.3360000000002
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-07-25,Not Applicable,495.43
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-07-25,Not Applicable,374.92
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-08-08,22810,6843.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-08-08,Not Applicable,1787.9240000000004
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-08-08,Not Applicable,4219.85
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-08-08,Not Applicable,3193.4
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-08-22,22810,6843.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-08-22,Not Applicable,1787.9240000000004
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-08-22,Not Applicable,4219.85
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-08-22,Not Applicable,3193.4
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-09-05,13412,4023.6
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-09-05,Not Applicable,1750.3400000000001
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-09-05,Not Applicable,2481.22
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-09-05,Not Applicable,1877.6800000000003
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-09-19,13412,4023.6
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-09-19,Not Applicable,1750.3400000000001
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-09-19,Not Applicable,2481.22
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-09-19,Not Applicable,1877.6800000000003
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-10-03,22810,6843.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-10-03,Not Applicable,1191.9466666666667
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-10-03,Not Applicable,4219.85
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-10-03,Not Applicable,3193.4
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-10-17,22810,6843.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-10-17,Not Applicable,1191.9466666666667
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-10-17,Not Applicable,4219.85
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-10-17,Not Applicable,3193.4
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-10-31,22810,6843.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-10-31,Not Applicable,1191.9466666666667
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-10-31,Not Applicable,4219.85
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-10-31,Not Applicable,3193.4
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-11-14,22810,6843.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-11-14,Not Applicable,1404.7274702695097
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-11-14,Not Applicable,4219.85
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-11-14,Not Applicable,3193.4
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2016-11-28,34034,10210.199999999999
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2016-11-28,Not Applicable,2095.9445297304906
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2016-11-28,Not Applicable,6296.29
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2016-11-28,Not Applicable,4764.76
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2017-01-16,10000,3000.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2017-01-16,Not Applicable,1354.4
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2017-01-16,Not Applicable,2160.0
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2017-01-16,Not Applicable,2092.0
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2017-01-30,14150,4245.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2017-01-30,Not Applicable,1373.0
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2017-01-30,Not Applicable,3178.755
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2017-01-30,Not Applicable,1923.4999999999998
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2017-02-20,14150,4245.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2017-02-20,Not Applicable,1373.0
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2017-02-20,Not Applicable,3178.755
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2017-02-20,Not Applicable,1923.4999999999998
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2017-03-06,14150,4245.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2017-03-06,Not Applicable,1373.0
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2017-03-06,Not Applicable,3177.445
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2017-03-06,Not Applicable,1873.5
ClientBrand,Direct Mail,Data Cost,Unclassified,EXCLUDING,CTC,2017-03-20,14150,4245.0
ClientBrand,Direct Mail,Management Cost,Unclassified,EXCLUDING,CTC,2017-03-20,Not Applicable,1373.0
ClientBrand,Direct Mail,Postage,Unclassified,EXCLUDING,CTC,2017-03-20,Not Applicable,3177.445
ClientBrand,Direct Mail,Print Cost,Unclassified,EXCLUDING,CTC,2017-03-20,Not Applicable,1873.5
