Brand,Media L1,Media L2,Message,Device,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2013-12-09,881,87,1.7488361317313916, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2013-12-16,540,11,1.0719313406753144, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2013-12-23,28575136,20163,56723.30341196191, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2013-12-30,9917,50,19.685820565698315, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-02-17,666672,821,1466.4686420210323, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-02-24,3697123,1064,12147.579096156094, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-03-03,2936056,788,9047.705116842906, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-03-10,1174784,381,3361.441941150326, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-03-17,83,0,0.2598384097110992, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-03-24,38,0,0.12127805577892742, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-03-31,27,0,0.09331251556908458, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-04-14,8,0,0.027019985896408923, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-04-21,67,0,0.2679869575336129, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-04-28,1,0,0.004084185959952609, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-05-05,9,0,0.03675767363957348, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-05-12,4,0,0.016336743839810437, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2014-05-19,7,0,0.02858930171966826, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-01-26,7643,40,14.38, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-02-02,258496,798,514.4300000000001, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-02-02,992850,995,4054.149284, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-02-09,233001,787,472.98, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-02-09,1666515,1765,6576.463086, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-02-16,192094,761,411.41999999999996, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-02-16,704323,701,2909.796653, DBM (data is w/c Sun)
