Brand,Media L1,Media L2,Device,PPC Type,Engine,Message,Confirm VAT,Confirm CTC,wc Mon,Tracked Revenue,Impressions,Clicks,Spend,Comment,Campaign
ClientBrand,Brand PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2011-12-26,0,306233,161827,10646.23,,{Google - Generic - Headboards - NVK - BMM}
ClientBrand,Generic PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2011-12-26,0,1567244,41530,34464.90000000001,,{Google - Trademark RE - Pure - NVK - BMM}
ClientBrand,Brand PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2012-01-02,0,261200,106955,8152.699999999999,,{Google - Generic - Mattress Sizes - HVK - Exact}
ClientBrand,Generic PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2012-01-02,0,1948952,43394,33269.78,,{Google - Trademark RE - Pure - NVK - BMM}
ClientBrand,Brand PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2012-01-09,0,242701,84370,7143.2300000000005,,{Google - Generic - Beds - NVK - BMM}
ClientBrand,Generic PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2012-01-09,0,2207263,40357,29604.77,,{Google - Generic - Mattresses Brands - NVK - BMM}
ClientBrand,Brand PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2012-01-16,0,289074,75555,7310.77,,{Google - Generic - Beds - NVK - BMM}
ClientBrand,Generic PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2012-01-16,0,2656579,40535,26358.210000000006,,{Google - Generic - Headboards - NVK - BMM}
ClientBrand,Brand PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2012-01-23,0,339917,75561,8349.68,,{Google - Generic - Beds - NVK - BMM}
ClientBrand,Generic PPC,,Unknown,Unknown,All,Unclassified,EXCLUDING,CTC,2012-01-23,0,2707097,38083,21827.410000000014,,{Google - Generic - Mattress Sizes - HVK - Exact}
