Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Spend,Comment
ClientBrand,Advertorials,,Unclassified,EXCLUDING,CTC,2018-12-24,425.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2010-12-27,96000.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-01-03,65272.692735701996,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-01-10,148602.77781570202,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-01-24,119746.81552673999,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-01-31,93646.966815702,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-02-07,64996.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-02-14,33947.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-02-21,50667.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-02-28,141958.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-03-14,48586.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-03-21,80591.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-03-28,25453.116,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-04-04,150567.159815702,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-04-11,73085.35952674,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-04-18,149141.95250343397,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-04-25,89449.426712,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-05-02,58878.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-05-09,492.966,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-05-16,148033.15531474003,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-05-23,74381.095947702,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-05-30,425.592,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-06-06,145409.35939474,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-06-27,66757.14232210201,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-07-11,21862.242000000002,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-07-18,2761.3949999999995,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-07-25,96357.482767732,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-08-01,70999.95000000001,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-08-08,141545.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-08-15,77078.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-08-22,155639.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-08-29,32085.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-09-05,135100.866027702,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-09-12,150764.07931474003,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-09-19,137693.964027702,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-09-26,26229.704040000004,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-10-03,81284.65583900802,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-10-10,80079.834,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-10-17,71816.57604,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-10-24,42598.166580000005,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-10-31,63887.683767732,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-11-07,81193.08204000001,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-11-21,53467.593120000005,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-11-28,356.166,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-12-05,2434.545,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-12-19,58996.688019732006,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2011-12-26,73433.577252,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-01-02,157054.063267732,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-01-09,40857.39,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-01-16,82347.676212,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-01-23,47659.464,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-01-30,150698.96976773202,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-02-06,37039.616479731994,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-02-13,101166.94,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-02-20,143406.903,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-02-27,51191.7165,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-03-05,132328.26547973198,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-03-12,67519.686,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-03-19,58115.295,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-04-02,139419.07750973201,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-04-09,81314.937,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-04-16,5726.421,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-04-23,37718.531,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-04-30,43001.588182,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-05-07,35737.47,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-05-28,93149.43,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-06-11,135045.44471200003,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-06-25,28638.863999999998,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-07-02,142409.239479732,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-07-09,945.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-07-16,38024.104,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-07-30,28244.84,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-08-06,1800.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-08-13,141583.46,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-08-20,56848.46,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-09-10,109800.62,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-09-24,40932.648,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-10-01,31608.950647311,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-10-15,15369.349767732001,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-10-22,44284.566,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-10-29,103121.270712,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-11-12,60541.716712,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-11-19,81130.39226773201,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-11-26,6558.723000000001,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-12-24,73521.339,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2012-12-31,159714.25900000002,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-01-07,87216.819,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-01-14,154905.41500000004,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-01-21,60969.582,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-01-28,75024.15299999999,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-02-04,96284.80500000001,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-02-11,46720.647000000004,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-02-18,118812.139,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-02-25,94748.145,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-03-04,89041.53,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-03-18,54361.37,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-03-25,100788.36,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-04-08,72993.78,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-04-15,58458.51,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-04-22,27309.591,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-04-29,91331.42,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-05-06,37363.48,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-05-13,71698.39,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-05-20,97132.82,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-05-27,2110.392,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-06-03,36210.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-06-10,63215.39,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-06-24,62796.11,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-08-19,119433.11,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-08-26,1176.12,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-09-02,5191.13,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-09-09,3097.29,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-09-23,59159.91,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-09-30,57294.06,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-10-14,5852.8,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-10-21,70676.72,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-10-28,51347.33,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-11-11,44418.01,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-11-18,68412.5,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-12-16,322.06,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-12-23,40439.82,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2013-12-30,59188.13,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-01-13,27567.7,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-01-20,63713.9,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-01-27,48509.5,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-03-17,337.5,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-05-12,540.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-05-26,4161.360000000001,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-06-02,2700.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-06-09,2572.42,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-06-16,1734.05,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-06-30,785.57,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-07-07,2732.09,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-07-14,1606.71,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-08-04,3574.08,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-08-11,670.75,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-08-25,2510.3,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-09-08,2510.3,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-09-22,1192.06,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-09-29,2096.42,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-10-13,763.65,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-10-20,1481.4,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-11-03,763.65,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-11-10,1481.4,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-11-24,947.25,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-12-01,947.25,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-12-08,1665.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-12-15,183.6,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2014-12-29,727.06,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-02-09,1512.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-02-16,1512.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-02-23,3150.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-03-02,3150.0,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-03-09,424.35,
ClientBrand,Local Press,,Unclassified,EXCLUDING,CTC,2015-03-16,424.35,
