Brand,Media L1,Media L2,Message,GRP Definition,Confirm VAT,Confirm CTC,wc Mon,Spend,Impacts,GRPs,Comment
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2016-12-19,4002.8571428571427,499189.28571428574,0.9749790736607142,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2016-12-26,1601.1428571428573,199675.71428571426,0.38999162946428567,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2017-04-10,4993.75,395687,0.772826171875,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2017-04-24,4993.75,395811,0.773068359375,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2017-08-28,7650.0,710505,1.387705078125,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-18,4994.599999999999,431604,0.8429765625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-25,11537.9,996930,1.9471289062500001,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2018-01-01,4695.4,406077,0.793119140625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2018-01-08,4578.099999999999,396812,0.7750234375,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2018-01-15,4578.099999999999,395954,0.77334765625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2018-01-22,4578.099999999999,396751,0.774904296875,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2018-02-05,2497.2999999999997,218327,0.42641992187499994,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-31,10586.0,523949,1.023337890625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-01-07,9992.0,494125,0.965087890625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-01-21,9992.0,493477,0.9638222656250001,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-02-18,9992.0,499091,0.9747871093750001,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-02-25,711.0,49159,0.09601367187500001,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-03-04,779.0,93498,0.18261328125,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-03-11,746.0,74548,0.1456015625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-03-18,889.0,127773,0.249556640625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-03-25,170.0,20968,0.040953125,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-04-01,729.0,26051,0.050880859375000004,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-04-08,3357.0,25764000,50.3203125,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-04-15,6072.0,762824,1.489890625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-04-22,800.0,19418,0.03792578125,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-04-29,9938.0,1015969,1.9843144531249999,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-05-20,10170.0,548024,1.070359375,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-05-27,531.1393863928281,50271,0.098185546875,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-06-03,1004.0310467172736,95029,0.185603515625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-06-10,989.3555358322775,93640,0.182890625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-06-17,1007.6338899223015,95370,0.18626953125,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-06-24,746.2005988219825,70626,0.13794140625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-07-01,100.4992509273454,9512,0.018578125,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-07-08,93.02942645240499,8805,0.017197265625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-07-15,2550.633375275587,241411,0.471505859375,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-07-22,7512.477489658,711037,1.3887441406249998,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-07-29,4307.0,120991,0.236310546875,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-08-05,800.0,20546,0.04012890625,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-08-12,100.0,5624,0.010984375,Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-08-19,7119.0,492465,0.961845703125,WK 34 Promo Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-09-23,7058.0,499847,0.9762636718750001,Sleepmatch WK 39 Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-09-23,397.6578312944423,26780,0.052304687499999995,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-09-30,689.6942976151219,46447,0.090716796875,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-10-07,710.7651139932702,47866,0.09348828125,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-10-14,637.5740964260444,42937,0.083861328125,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-10-21,399.42446371519856,21915,0.042802734375000005,Cheltenham Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-10-21,580.6724978629263,39105,0.07637695312500001,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-10-28,437.84503270956947,24023,0.046919921875,Cheltenham Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-10-28,293.07590053242745,19737,0.038548828125,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-11-04,262.60130838277803,14408,0.028140625000000002,Cheltenham Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-11-04,273.50483923122977,18419,0.035974609375,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-11-11,506.9765403925149,27816,0.054328125000000005,Cheltenham Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-11-11,465.5625834419212,31353,0.061236328124999996,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-11-18,429.78910695268524,23581,0.046056640625,Cheltenham Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-11-18,339.10798705269525,22837,0.044603515625,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-11-25,359.1266088544044,19704,0.038484375,Cheltenham Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-11-25,250.31060724908193,16857,0.032923828125,Worcester Opening Converted to GRPs using All Adult Universe size of 51.2m
ClientBrand,Digital Radio,,Promo,All Adult 30s Equiv,EXCLUDING,CTC,2019-12-23,6641.45,603183,1.178091796875,Peaks 
