Brand,Media L1,Media L2,Message,Objective,Cost Type,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-03-14,969649,7078,6458.05086555849,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-03-21,355682,2200,2711.37680055228,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-03-28,267457,2299,1587.34650808534,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-04-04,320868,3665,2025.32968001893,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-04-11,334003,3038,2149.78274879495,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-04-18,341437,2287,1986.33071693501,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-04-25,315600,1525,1749.75422564445,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-05-02,60208,315,213.354534579485,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-06-20,187885,931,95.6542016651107,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-06-27,983239,6180,3837.75603229737,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-06-27,799377,3706,2402.87737273637,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-07-04,2597750,18318,10139.4785325852,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-07-04,1107553,5545,3459.3416528578,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-07-11,1383241,8336,5399.03471269045,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-07-11,1030542,5755,3391.92161993068,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-07-18,1246929,7004,4866.98482423554,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-07-18,896565,5088,3315.03538317986,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-07-25,1310769,6767,5116.16365573212,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-07-25,874822,5247,3391.77564051229,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-08-01,1084885,6109,4234.49838045372,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-08-01,925203,5213,2807.4424870432,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-08-08,1747298,15876,6820.01368916523,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-08-08,385215,1897,2379.46451986278,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-08-15,1687168,9327,6585.31564502536,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-08-15,559958,2139,4316.40927663565,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-08-22,757961,3729,2958.45608239314,
ClientBrand,Paid Social,Twitter,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-08-22,683744,3070,5151.72596707243,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2016-12-26,2543213,6505,5243.19,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-01-02,888380,8567,2486.77,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-01-09,1126075,9470,3424.16,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-01-16,1153208,8733,3193.73,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-01-23,959132,8059,3749.64,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-01-30,748782,5994,3535.04,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-02-06,555532,4978,2973.62,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-02-13,944772,6234,4184.52,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-02-20,1737682,13401,6976.89,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-02-27,387072,2223,1730.68,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-03-13,1334460,9357,5655.88,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-03-20,1732095,14858,6914.14,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-03-27,1176610,10339,5466.08,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2017-04-03,2065266,13243,9584.07,
