Brand,Media L1,Media L2,Further TV Detail,Message,TVR Definition,Confirm VAT,Confirm CTC,wc Mon,Spend,TVRs,Comment
ClientBrand,TV Sponsorship,5Star,5Star,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-11-27,Free of charge,4.0,
ClientBrand,TV Sponsorship,5Star,5Star,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-04,Free of charge,8.0,
ClientBrand,TV Sponsorship,5Star,5Star,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-11,Free of charge,11.0,
ClientBrand,TV Sponsorship,5Star,5Star,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-18,Free of charge,12.0,
ClientBrand,TV Sponsorship,5Star,5Star,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-25,Free of charge,19.0,
ClientBrand,TV Sponsorship,5Star,5Star,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-10,Free of charge,19.0,
ClientBrand,TV Sponsorship,5Star,5Star,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-17,Free of charge,56.0,
ClientBrand,TV Sponsorship,5Star,5Star,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2018-12-24,Free of charge,44.0,
ClientBrand,TV Sponsorship,Blaze,Blaze,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-11-27,Free of charge,13.392000000000001,
ClientBrand,TV Sponsorship,Blaze,Blaze,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-04,Free of charge,14.582400000000002,
ClientBrand,TV Sponsorship,Blaze,Blaze,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-11,Free of charge,13.392000000000001,
ClientBrand,TV Sponsorship,Blaze,Blaze,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-18,Free of charge,14.582400000000002,
ClientBrand,TV Sponsorship,Blaze,Blaze,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-25,Free of charge,18.4512,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-09-10,37330,5.2,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-09-17,37330,16.7,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-09-24,37330,12.9,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-10-01,37330,13.7,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-10-08,32245.25,15.8,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-10-15,32245.25,10.4,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-10-22,32245.25,12.2,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-10-29,32245.25,3.7,
ClientBrand,TV Sponsorship,C4,C4,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-11-05,30864,3.7,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-10-31,79993.5,62.825,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-11-07,79993.5,61.621,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-11-14,79993.5,62.68,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-11-21,79993.5,74.891,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-11-28,79993.5,70.059,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-12-05,99991.875,74.524,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-12-12,99991.875,83.678,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-12-19,99991.875,72.542,
ClientBrand,TV Sponsorship,C4Festive,C4 Festive Entertainment (C4 + UKTV + HGTV/Really),Brand,All Adult 30s Equiv,EXCLUDING,CTC,2022-12-26,99991.875,87.05,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-03-26,8500,45.333333333333336,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-04-02,59400,45.333333333333336,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-04-09,17000,45.333333333333336,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-12-24,42500,114.46349999999995,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-12-31,16666.666,114.46349999999995,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-01-07,16666.666,176.95950000000008,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-01-14,16666.666,176.95950000000008,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-01-21,66000,176.95950000000008,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-01-28,70000,176.95950000000008,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-03-04,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-03-11,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-03-18,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-03-25,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-04-01,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-04-08,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-04-15,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-04-22,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-04-29,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-05-06,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-05-13,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-05-20,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-05-27,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-06-03,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-06-10,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-06-17,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-06-24,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-08-05,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-08-12,10000,0.0,
ClientBrand,TV Sponsorship,C5,C5,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2013-08-19,10000,0.0,
