Brand,Media L1,Media L2,Further TV Detail,Message,TVR Definition,Confirm VAT,Confirm CTC,wc Mon,Spend,TVRs,Comment
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2010-12-27,-124776,0.0,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-03,-20719,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-03,414100,277.7,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-10,-20719,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-10,414100,272.5,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-17,-20719,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-17,343400,254.4,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-24,-20719,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-24,343400,188.0,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-31,-20719,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-01-31,417000,206.9,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-02-07,-22706,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-02-07,262813,122.4,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-02-14,-22706,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-02-14,262813,138.5,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-02-21,-22706,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-02-21,315375,176.1,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-02-28,-22706,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-02-28,472000,219.9,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-03-07,-37658,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-03-07,358000,161.6,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-03-14,-28658,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-03-14,173000,72.0,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-03-21,-28658,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-03-21,212000,108.8,
ClientBrand,TV,,Rebates,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-03-28,-37658,0.0,
ClientBrand,TV,,Airtime,Unclassified,All Adult 30s Equiv,EXCLUDING,CTC,2011-03-28,437000,171.9,
