Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Impressions,Spend,Comment
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2012-12-24,Missing,18000.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2012-12-31,Missing,18000.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2014-09-08,Missing,15143.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2014-10-06,Missing,17626.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2014-10-27,Missing,17626.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2014-12-08,Missing,16667.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2014-12-15,Missing,16667.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2014-12-22,Missing,51666.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2014-12-29,Missing,17500.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-01-05,Missing,17500.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-01-12,Missing,17500.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-01-19,Missing,17500.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-01-26,Missing,17500.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-02-02,Missing,6533.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-02-09,Missing,6533.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-02-16,Missing,23340.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-02-23,Missing,23340.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-03-02,Missing,6961.25,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-03-09,Missing,6961.25,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-03-16,Missing,6961.25,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-03-23,Missing,22961.25,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-03-30,Missing,24362.83,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2015-04-06,Missing,16987.33,
