Brand,Media L1,Media L2,Objective,Device Type,Format,Message,Confirm VAT,Confirm CTC,wc Mon,Impressions,Spend,Comment
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2014-08-18,Missing,6579.0,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2014-08-25,Missing,6579.0,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2014-09-01,Missing,6579.0,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-03-28,193561.403508772,2467.907894736842,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-04-04,129066.66666666666,1645.6,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-04-11,129066.66666666666,1645.6,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-04-18,129066.66666666666,1645.6,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-04-25,193533.33333333334,2467.5499999999997,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-05-02,168066.66666666666,2142.85,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-05-09,168066.66666666666,2142.85,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-05-16,168066.66666666666,2142.85,
ClientBrand,Youtube,,Reach,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-05-23,336133.3333333333,4285.7,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-05-30,40000,510.0,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-06-06,150000,1912.5,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-06-13,150000,1912.5,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-06-20,60000,765.0,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-06-27,368000,4692.0,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-07-04,58000,739.5,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-07-11,348000,4437.0,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-07-18,58000,739.5,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-07-25,348000,4437.0,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-08-01,210000,2677.5,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-08-08,210000,2677.5,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-08-15,210000,2677.5,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-08-22,210000,2677.5,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2016-12-26,272610,1268.139054,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-01-02,1435960,6819.008172,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-01-09,511471,2606.754651,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-01-16,615886,3216.284866,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-01-23,848267,4722.025079999999,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-01-30,718114,4241.197953,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-02-06,631442,3954.435715,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-02-13,452426,2629.812214,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-02-20,205540,947.251419,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-02-27,265122,1327.925342,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-03-06,425609,2028.651336,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-03-13,2141874,9606.535707000001,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-03-20,1881709,8460.911948,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-03-27,185527,813.054721,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-04-03,431308,4329.438093,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-04-10,2061758,11636.629054,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-04-17,428017,2931.0470290000003,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-04-24,763228,4589.057459,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-05-01,267281,2053.436998,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-05-08,863376,4776.6188,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-05-15,309458,2134.567615,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-05-22,196225,1654.086785,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-05-29,235722,1820.57725,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-06-05,213369,1975.778566,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-06-12,182380,1528.966654,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-06-19,166267,1476.062289,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-06-26,168728,1555.342108,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-07-03,194526,1578.830773,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-07-10,177785,1587.63311,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-07-17,183922,1561.469387,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-07-24,184526,1490.560499,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-07-31,220459,1564.00737,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-08-07,294171,1841.274501,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-08-14,293948,1821.13769,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-08-21,391613,2717.760157,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-08-28,235539,1794.5537789999998,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-09-04,287104,2127.356913,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-09-11,149184,1175.046573,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-09-18,123541,951.084691,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-12-11,78836,1230.870211,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-12-18,494612,4620.952107,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2017-12-25,494077,4553.382355,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-01-01,1265330,25666.08340147886,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-01-08,574115,11645.407376133724,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-01-15,170348,3455.3578488528215,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-01-22,165668,3360.428798884338,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-01-29,224939,4562.279078485323,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-02-05,245854,4986.92807834434,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-02-12,222093,4504.955718504355,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-02-19,182605,3703.551998770421,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-02-26,116746,2368.0862092137954,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-03-19,1408324,12869.67299572727,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-04-23,1052825,10531.124996503668,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-06-04,309042,2220.258999262874,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-06-11,268856,2220.2589992628737,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-06-18,288086,2220.258999262874,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-06-25,169880,2220.258999262874,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-08-13,828080.0488877196,8509.99999717468,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-08-20,656605,8509.99999717468,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-09-10,695770,7400.295997543102,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-09-17,581713,7400.295997543102,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-10-08,652537.4008975318,7400.295997543102,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-10-22,718721.7424980241,7400.295997543102,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-11-12,862663,6731.409997765173,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-12-24,520159,6347.608997892594,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2018-12-31,357786,5162.165998286161,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-01-07,330444.62954063184,4705.178998437881,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-01-14,330805.19999999995,4705.178998437881,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-01-21,349160.20905916276,4714.539998434773,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-04-08,1933093,9985.460000000003,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-04-15,580014,3056.2200000000007,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-04-22,583018,4300.7,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-04-29,1714222,11849.080000000002,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-05-06,237073,861.85,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-05-13,468117,1821.8900000000008,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-05-20,1002931,5896.350000000001,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-05-27,647846,4489.4800000000005,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-08-05,2382342,13380.213715,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-08-12,2556150,10651.712774999998,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-08-19,4812092,27969.70275,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-08-26,2246749,13158.937412500001,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-09-02,2028115,10606.027767500002,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-09-16,3151577,21347.511542499997,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-09-23,943576,4634.03666,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-09-30,1520542,10080.309635,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-10-07,1976640,28944.6931532,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-10-14,1455337,26133.8137852,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-10-21,3953661,41956.8661325,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-10-28,12,544.3239911999999,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-11-04,384001,4237.276012034999,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-11-11,1232807,14693.48168541,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-11-18,2281943,19638.260427060002,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-12-02,1006315,10152.64644339,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-12-09,1177807,5593.6153227899995,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-12-16,1086129,6844.582581209999,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-12-23,1829294,17353.992885239997,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2019-12-30,600988,6502.9807923299995,
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-01-06,585071,4781.665771,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-01-13,3916000,29588.76987,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-01-20,1176398,11015.80906,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-01-27,718830,6510.824378559594,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-02-03,1838029,14836.889548955542,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-02-17,1834403,12927.90091329494,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-03-23,464683,4221.754797539391,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-06-15,801685,6931.396305701004,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-06-22,510013,4879.112412686865,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-06-29,552985,4979.451245846461,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-07-06,558555,4979.4512458464615,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-07-13,283713,2489.7256229232303,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-07-20,231383,1991.771924202019,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-07-27,261121,1991.7933595434329,Updated 09/02/2022
ClientBrand,Youtube,,Conversion,Large Screen,TruView,Unclassified,EXCLUDING,CTC,2020-08-03,1427598,10884.094697810091,Updated 09/02/2022
